"No.","Time","Source","Destination","Protocol","Length","Info","Source MAC","Dest MAC","802.11 Type","802.11 Subtype","UDP Length","Frame Length","Hw src addr res","data.data"
"140","24.152954","192.168.43.20","180.76.76.200","TCP","74","47032  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3743081 TSecr=0 WS=256","","","","","","74","LGElectronic_4a:ec:64",""
"141","24.241258","192.168.43.1","192.168.43.20","UDP","46","40611  >  22704 Len=4","","","","","12","46","VLinkTechnol_7e:5d:bd","f1:e0:00:00"
"142","24.242236","192.168.43.20","192.168.43.1","UDP","46","22704  >  40611 Len=4","","","","","12","46","LGElectronic_4a:ec:64","f1:e1:00:00"
"143","24.283877","192.168.43.20","192.168.43.1","UDP","46","22704  >  40611 Len=4","","","","","12","46","LGElectronic_4a:ec:64","f1:e0:00:00"
"144","24.308270","192.168.43.1","192.168.43.20","UDP","46","40611  >  22704 Len=4","","","","","12","46","VLinkTechnol_7e:5d:bd","f1:e1:00:00"
"145","25.158487","192.168.43.20","180.76.76.200","TCP","74","[TCP Retransmission] 47032  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3743383 TSecr=0 WS=256","","","","","","74","LGElectronic_4a:ec:64",""
"146","25.309932","192.168.43.1","192.168.43.20","UDP","46","40611  >  22704 Len=4","","","","","12","46","VLinkTechnol_7e:5d:bd","f1:e0:00:00"
"147","25.311560","192.168.43.20","192.168.43.1","UDP","46","22704  >  40611 Len=4","","","","","12","46","LGElectronic_4a:ec:64","f1:e1:00:00"
"148","25.333025","192.168.43.20","192.168.43.1","UDP","46","22704  >  40611 Len=4","","","","","12","46","LGElectronic_4a:ec:64","f1:e0:00:00"
"149","25.345864","192.168.43.1","192.168.43.20","UDP","46","40611  >  22704 Len=4","","","","","12","46","VLinkTechnol_7e:5d:bd","f1:e1:00:00"
